nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Devon Hall,OKC,24.0,187.96,97.52228,USA,5,1.0,0.2,0.6,0.0,0.0,0.37,2019-20
Devonte' Graham,CHA,25.0,185.42,88.45044,USA,61,17.8,3.4,7.5,0.0,0.0,0.534,2019-20
Jordan McRae,DET,28.0,195.58,81.19296800000002,USA,35,11.7,3.3,2.6,0.0,0.0,0.528,2019-20
Delon Wright,DAL,27.0,195.58,83.91452,USA,62,7.3,3.9,3.4,0.0,0.0,0.56,2019-20
Dario Saric,PHX,25.0,208.28,102.0582,Croatia,56,9.8,5.9,1.9,0.0,0.0,0.5670000000000001,2019-20
Danuel House Jr.,HOU,26.0,198.12,99.79024,USA,56,10.4,4.4,1.3,0.0,0.0,0.574,2019-20
Dante Exum,CLE,24.0,195.58,97.068688,Australia,35,4.5,1.9,1.1,0.0,0.0,0.5760000000000001,2019-20
Chasson Randle,GSW,27.0,187.96,83.91452,USA,2,1.5,1.0,1.0,0.0,0.0,0.399,2019-20
Cheick Diallo,PHX,23.0,203.2,99.336648,Mali,42,4.7,2.8,0.5,0.0,0.0,0.687,2019-20
Chimezie Metu,SAS,22.0,205.74,102.0582,USA,16,2.9,1.6,0.4,0.0,0.0,0.597,2019-20
Chris Boucher,TOR,27.0,205.74,90.7184,Canada,54,6.4,4.5,0.4,0.0,0.0,0.574,2019-20
Chris Chiozza,BKN,24.0,180.34,79.3786,USA,19,3.6,1.6,2.3,0.0,0.0,0.508,2019-20
Chris Clemons,HOU,22.0,175.26,81.64656,USA,28,5.0,0.8,0.8,0.0,0.0,0.547,2019-20
Chris Paul,OKC,34.0,185.42,79.3786,USA,62,17.5,4.9,6.8,0.0,1.0,0.609,2019-20
Chris Silva,MIA,23.0,203.2,106.140528,Gabon,40,3.0,2.7,0.5,0.0,0.0,0.6629999999999999,2019-20
Christian Wood,DET,24.0,208.28,97.068688,USA,60,12.6,6.3,0.9,0.0,0.0,0.653,2019-20
Clint Capela,ATL,25.0,208.28,108.86208,Switzerland,39,13.9,13.8,1.2,0.0,0.0,0.626,2019-20
Coby White,CHI,20.0,193.04,88.45044,USA,63,13.0,3.5,2.6,0.0,0.0,0.507,2019-20
Cody Martin,CHA,24.0,195.58,92.98636,USA,46,4.8,3.2,1.9,0.0,0.0,0.5,2019-20
Cody Zeller,CHA,27.0,213.36,108.86208,USA,56,11.0,7.0,1.5,0.0,0.0,0.5710000000000001,2019-20
Collin Sexton,CLE,21.0,185.42,86.18248,USA,63,20.6,3.2,2.9,0.0,0.0,0.5579999999999999,2019-20
Cory Joseph,SAC,28.0,190.5,90.7184,Canada,63,6.4,2.5,3.4,0.0,0.0,0.513,2019-20
Courtney Lee,DAL,34.0,195.58,97.52228,USA,21,4.3,1.4,0.5,0.0,0.0,0.6759999999999999,2019-20
Cristiano Felicio,CHI,27.0,208.28,122.46984,Brazil,22,3.9,4.6,0.7,0.0,0.0,0.6709999999999999,2019-20
D'Angelo Russell,MIN,24.0,193.04,87.543256,USA,43,23.1,3.8,6.4,0.0,0.0,0.555,2019-20
D.J. Augustin,ORL,32.0,180.34,83.007336,USA,47,10.0,2.2,4.6,0.0,0.0,0.536,2019-20
D.J. Wilson,MIL,24.0,208.28,104.779752,USA,30,3.0,2.0,0.7,0.0,0.0,0.474,2019-20
DaQuan Jeffries,SAC,22.0,195.58,104.32616,USA,6,1.2,0.2,0.2,0.0,0.0,0.5,2019-20
Damian Jones,ATL,24.0,210.82,111.13004,USA,55,5.6,3.7,0.6,0.0,0.0,0.7120000000000001,2019-20
Damian Lillard,POR,29.0,187.96,88.45044,USA,57,29.0,4.3,7.8,0.0,1.0,0.618,2019-20
Damion Lee,GSW,27.0,195.58,95.25431999999999,USA,48,12.8,4.9,2.7,0.0,0.0,0.5479999999999999,2019-20
Damyean Dotson,NYK,25.0,195.58,95.25431999999999,USA,48,6.7,1.9,1.2,0.0,0.0,0.527,2019-20
Daniel Gafford,CHI,21.0,208.28,106.140528,USA,41,5.1,2.5,0.5,0.0,0.0,0.6759999999999999,2019-20
Daniel Theis,BOS,27.0,203.2,111.13004,Germany,56,9.1,6.6,1.6,0.0,0.0,0.621,2019-20
Danilo Gallinari,OKC,31.0,208.28,105.68693600000002,Italy,54,19.2,5.5,2.1,0.0,1.0,0.614,2019-20
Danny Green,LAL,32.0,198.12,97.52228,USA,59,8.4,3.4,1.4,1.0,2.0,0.5670000000000001,2019-20
Chandler Parsons,ATL,31.0,205.74,104.32616,USA,5,2.8,1.4,0.6,0.0,0.0,0.389,2019-20
Jordan Poole,GSW,20.0,193.04,87.996848,USA,56,8.7,2.1,2.3,0.0,0.0,0.448,2019-20
Josh Magette,ORL,30.0,185.42,72.57472,USA,8,1.5,0.8,0.6,0.0,0.0,0.378,2019-20
Josh Hart,NOP,25.0,195.58,97.52228,USA,56,10.3,6.5,1.7,0.0,0.0,0.564,2019-20
Royce O'Neale,UTA,26.0,193.04,102.511792,USA,63,6.1,5.3,2.6,0.0,1.0,0.5820000000000001,2019-20
Rudy Gay,SAS,33.0,203.2,113.398,USA,58,9.7,5.3,1.7,0.0,0.0,0.544,2019-20
Rudy Gobert,UTA,27.0,215.9,117.026736,France,61,15.2,13.9,1.5,1.0,0.0,0.7020000000000001,2019-20
Rui Hachimura,WAS,22.0,203.2,104.32616,Japan,39,13.7,6.0,1.7,0.0,0.0,0.5479999999999999,2019-20
Russell Westbrook,HOU,31.0,190.5,90.7184,USA,51,27.5,8.1,7.0,0.0,0.0,0.536,2019-20
Ryan Anderson,HOU,31.0,205.74,108.86208,USA,2,2.5,3.5,1.0,0.0,0.0,0.35700000000000004,2019-20
Ryan Arcidiacono,CHI,25.0,190.5,88.45044,USA,58,4.5,1.9,1.7,0.0,0.0,0.551,2019-20
Ryan Broekhoff,DAL,29.0,198.12,97.52228,Australia,17,4.2,2.5,0.6,0.0,0.0,0.568,2019-20
Sekou Doumbouya,DET,19.0,203.2,104.32616,Guinea,36,6.6,3.2,0.4,0.0,0.0,0.481,2019-20
Semi Ojeleye,BOS,25.0,198.12,108.86208,USA,59,3.2,2.0,0.5,0.0,0.0,0.5720000000000001,2019-20
Serge Ibaka,TOR,30.0,213.36,106.59412,Democratic Republic of the Congo,48,15.8,8.1,1.4,0.0,0.0,0.589,2019-20
Seth Curry,DAL,29.0,187.96,83.91452,USA,59,12.6,2.4,2.0,0.0,0.0,0.65,2019-20
Shabazz Napier,WAS,28.0,182.88,79.3786,USA,49,9.8,2.9,4.9,0.0,0.0,0.544,2019-20
Rondae Hollis-Jefferson,TOR,25.0,198.12,98.429464,USA,50,7.3,4.9,1.8,0.0,0.0,0.535,2019-20
Shai Gilgeous-Alexander,OKC,21.0,195.58,81.64656,Canada,63,19.3,6.1,3.3,0.0,1.0,0.5660000000000001,2019-20
Shamorie Ponds,TOR,21.0,182.88,79.3786,USA,4,2.3,0.3,0.5,0.0,0.0,0.765,2019-20
Shaquille Harrison,CHI,26.0,200.66,86.18248,USA,41,4.8,1.7,1.0,0.0,0.0,0.573,2019-20
Skal Labissiere,ATL,23.0,208.28,106.59412,Haiti,33,5.8,5.1,1.3,0.0,0.0,0.588,2019-20
Solomon Hill,MIA,28.0,198.12,102.511792,USA,52,5.5,2.8,1.8,0.0,0.0,0.547,2019-20
Spencer Dinwiddie,BKN,26.0,195.58,97.52228,USA,62,20.5,3.5,6.8,0.0,0.0,0.5379999999999999,2019-20
Stanley Johnson,TOR,23.0,198.12,109.76926399999999,USA,20,1.2,1.1,0.4,0.0,0.0,0.342,2019-20
Stanton Kidd,UTA,27.0,198.12,97.975872,USA,4,0.0,0.8,0.3,0.0,0.0,0.0,2019-20
Stephen Curry,GSW,31.0,190.5,83.91452,USA,5,20.8,5.2,6.6,0.0,0.0,0.557,2019-20
Sterling Brown,MIL,25.0,195.58,99.336648,USA,44,4.7,3.6,1.0,0.0,0.0,0.478,2019-20
Steven Adams,OKC,26.0,210.82,120.20188,New Zealand,57,11.0,9.4,2.5,0.0,1.0,0.605,2019-20
Svi Mykhailiuk,DET,22.0,200.66,92.98636,Ukraine,54,8.9,1.8,1.8,0.0,0.0,0.58,2019-20
T.J. McConnell,IND,27.0,185.42,86.18248,USA,61,6.5,2.6,5.0,0.0,0.0,0.541,2019-20
T.J. Warren,IND,26.0,203.2,99.79024,USA,59,18.7,3.9,1.5,0.0,0.0,0.6,2019-20
Shake Milton,PHI,23.0,195.58,92.98636,USA,31,9.4,2.2,2.2,0.0,0.0,0.639,2019-20
TJ Leaf,IND,22.0,208.28,100.697424,USA,25,2.9,2.6,0.2,0.0,0.0,0.485,2019-20
Romeo Langford,BOS,20.0,193.04,97.975872,USA,25,2.5,1.0,0.2,0.0,0.0,0.476,2019-20
Rodney Hood,POR,27.0,203.2,94.347136,USA,21,11.0,3.4,1.5,0.0,0.0,0.625,2019-20
Oshae Brissett,TOR,21.0,200.66,95.25431999999999,Canada,19,1.9,1.4,0.4,0.0,0.0,0.458,2019-20
Otto Porter Jr.,CHI,26.0,203.2,89.811216,USA,12,10.8,3.4,1.8,0.0,0.0,0.53,2019-20
P.J. Tucker,HOU,34.0,195.58,111.13004,USA,62,7.2,6.9,1.6,0.0,0.0,0.579,2019-20
P.J. Washington,CHA,21.0,200.66,104.32616,USA,56,12.3,5.5,2.2,0.0,0.0,0.5529999999999999,2019-20
PJ Dozier,DEN,23.0,198.12,92.98636,USA,20,4.3,1.5,1.5,0.0,0.0,0.453,2019-20
Pascal Siakam,TOR,25.0,205.74,104.32616,Cameroon,51,23.6,7.5,3.5,0.0,0.0,0.556,2019-20
Pat Connaughton,MIL,27.0,195.58,94.800728,USA,59,5.1,4.3,1.6,0.0,0.0,0.568,2019-20
Patrick Beverley,LAC,31.0,185.42,81.64656,USA,46,7.9,5.5,3.8,1.0,0.0,0.551,2019-20
Patrick McCaw,TOR,24.0,200.66,82.10015200000002,USA,35,4.7,2.2,2.2,0.0,0.0,0.51,2019-20
Patrick Patterson,LAC,30.0,203.2,106.59412,USA,50,4.6,2.4,0.6,0.0,0.0,0.57,2019-20
Patty Mills,SAS,31.0,185.42,81.64656,Australia,61,11.7,1.6,1.8,0.0,0.0,0.584,2019-20
Paul George,LAC,29.0,203.2,99.79024,USA,40,20.9,5.9,3.9,0.0,0.0,0.578,2019-20
Paul Millsap,DEN,35.0,200.66,116.573144,USA,42,11.8,5.8,1.6,2.0,3.0,0.598,2019-20
Rodney McGruder,LAC,28.0,193.04,92.98636,USA,48,3.2,2.6,0.6,0.0,0.0,0.474,2019-20
Paul Watson,TOR,25.0,198.12,95.25431999999999,USA,5,0.2,0.8,1.0,0.0,0.0,0.056,2019-20
Quinndary Weatherspoon,SAS,23.0,190.5,92.98636,USA,2,0.0,0.5,0.5,0.0,0.0,0.0,2019-20
RJ Barrett,NYK,19.0,198.12,97.068688,Canada,53,14.1,5.0,2.6,0.0,0.0,0.476,2019-20
Rajon Rondo,LAL,34.0,185.42,81.64656,USA,46,7.3,3.0,5.0,0.0,0.0,0.5,2019-20
Raul Neto,PHI,27.0,185.42,81.64656,Brazil,49,4.3,1.1,1.6,0.0,0.0,0.562,2019-20
Rayjon Tucker,UTA,22.0,190.5,94.800728,USA,14,1.4,0.9,0.1,0.0,0.0,0.448,2019-20
Reggie Bullock,NYK,28.0,198.12,92.98636,USA,27,8.3,2.4,1.4,0.0,0.0,0.495,2019-20
Reggie Jackson,LAC,29.0,190.5,94.347136,USA,21,12.9,3.0,4.6,0.0,0.0,0.517,2019-20
Richaun Holmes,SAC,26.0,208.28,106.59412,USA,38,13.0,8.5,1.0,0.0,0.0,0.685,2019-20
Ricky Rubio,PHX,29.0,190.5,86.18248,Spain,55,12.7,4.5,8.8,0.0,0.0,0.522,2019-20
Robert Covington,HOU,29.0,200.66,94.800728,USA,60,13.0,6.4,1.2,0.0,0.0,0.575,2019-20
Robert Williams III,BOS,22.0,203.2,107.501304,USA,22,4.2,4.7,1.0,0.0,0.0,0.6659999999999999,2019-20
Robin Lopez,MIL,31.0,213.36,127.459352,USA,58,5.4,2.4,0.7,0.0,0.0,0.565,2019-20
Rodions Kurucs,BKN,22.0,205.74,103.418976,Latvia,39,4.2,2.5,0.8,0.0,0.0,0.5539999999999999,2019-20
Quinn Cook,LAL,26.0,185.42,81.64656,USA,38,4.8,1.1,1.1,0.0,0.0,0.517,2019-20
Tacko Fall,BOS,24.0,226.06,141.067112,Senegal,6,3.2,1.8,0.0,0.0,0.0,0.713,2019-20
Taj Gibson,NYK,34.0,205.74,105.233344,USA,59,6.1,4.4,0.9,0.0,0.0,0.601,2019-20
Talen Horton-Tucker,LAL,19.0,193.04,106.140528,USA,2,0.0,0.0,1.0,0.0,0.0,0.0,2019-20
Tyler Johnson,PHX,27.0,190.5,84.368112,USA,31,5.7,1.7,1.6,0.0,0.0,0.481,2019-20
Tyrone Wallace,ATL,25.0,195.58,89.811216,USA,14,2.9,1.6,0.9,0.0,0.0,0.389,2019-20
Tyson Chandler,HOU,37.0,213.36,106.59412,USA,26,1.3,2.5,0.2,0.0,0.0,0.7170000000000001,2019-20
Tyus Jones,MEM,23.0,182.88,88.904032,USA,64,7.4,1.6,4.4,0.0,0.0,0.535,2019-20
Udonis Haslem,MIA,39.0,203.2,106.59412,USA,3,1.7,2.7,0.3,0.0,0.0,0.322,2019-20
Vic Law,ORL,24.0,200.66,91.171992,USA,4,0.0,0.3,0.0,0.0,0.0,0.0,2019-20
Victor Oladipo,IND,27.0,193.04,96.615096,USA,11,12.4,2.7,2.5,0.0,0.0,0.482,2019-20
Vince Carter,ATL,43.0,198.12,99.79024,USA,58,4.9,2.1,0.8,0.0,0.0,0.464,2019-20
Vincent Poirier,BOS,26.0,213.36,106.59412,France,21,1.9,1.6,0.3,0.0,0.0,0.54,2019-20
Vlatko Cancar,DEN,22.0,203.2,107.047712,Slovenia,14,1.2,0.7,0.2,0.0,0.0,0.507,2019-20
Wayne Ellington,NYK,32.0,193.04,93.893544,USA,33,5.2,1.6,1.2,0.0,0.0,0.519,2019-20
Wendell Carter Jr.,CHI,20.0,205.74,122.46984,USA,41,11.2,9.7,1.2,0.0,0.0,0.586,2019-20
Wenyen Gabriel,POR,22.0,205.74,92.98636,Sudan,27,2.2,1.7,0.3,0.0,0.0,0.547,2019-20
Tyler Herro,MIA,20.0,195.58,88.45044,USA,46,13.1,4.0,2.0,0.0,0.0,0.535,2019-20
Wes Iwundu,ORL,25.0,198.12,88.45044,USA,43,5.1,2.5,1.0,0.0,0.0,0.512,2019-20
Will Barton,DEN,29.0,195.58,82.10015200000002,USA,56,15.0,6.3,3.7,1.0,2.0,0.546,2019-20
William Howard,HOU,26.0,203.2,93.893544,France,2,0.0,1.0,0.5,0.0,0.0,0.0,2019-20
Willie Cauley-Stein,DAL,26.0,213.36,108.86208,USA,52,7.3,5.9,1.3,0.0,0.0,0.584,2019-20
Willy Hernangomez,CHA,25.0,210.82,113.398,Spain,31,6.1,4.3,0.9,0.0,0.0,0.5760000000000001,2019-20
Wilson Chandler,BKN,32.0,203.2,106.59412,USA,33,5.9,4.1,1.1,0.0,0.0,0.529,2019-20
Yogi Ferrell,SAC,26.0,182.88,80.73937600000002,USA,44,4.2,1.1,1.3,0.0,0.0,0.499,2019-20
Yuta Watanabe,MEM,25.0,203.2,97.52228,Japan,16,1.9,1.1,0.3,0.0,0.0,0.461,2019-20
Zach Collins,POR,22.0,210.82,113.398,USA,3,9.0,4.0,2.0,2.0,0.0,0.624,2019-20
Zach LaVine,CHI,24.0,198.12,90.7184,USA,60,25.5,4.8,4.2,0.0,0.0,0.568,2019-20
Zach Norvell Jr.,GSW,22.0,195.58,92.98636,USA,5,2.0,1.2,0.6,0.0,0.0,0.402,2019-20
Zhaire Smith,PHI,20.0,190.5,92.98636,USA,7,1.1,0.3,0.3,0.0,0.0,0.313,2019-20
Zion Williamson,NOP,19.0,198.12,128.820128,USA,18,23.6,6.8,2.2,0.0,0.0,0.623,2019-20
Zylan Cheatham,NOP,24.0,195.58,99.79024,USA,3,1.3,2.0,0.7,0.0,0.0,0.4,2019-20
Wesley Matthews,MIL,33.0,193.04,99.79024,USA,60,7.6,2.5,1.5,0.0,0.0,0.552,2019-20
Tyler Cook,CLE,22.0,203.2,115.66596,USA,11,1.7,0.9,0.1,0.0,0.0,0.752,2019-20
Ty Jerome,PHX,22.0,195.58,88.45044,USA,26,3.6,1.5,1.5,0.0,0.0,0.446,2019-20
Troy Daniels,DEN,28.0,193.04,90.7184,USA,41,4.2,1.1,0.3,0.0,0.0,0.527,2019-20
Tariq Owens,PHX,24.0,208.28,92.98636,USA,3,1.3,1.0,0.0,0.0,0.0,0.34,2019-20
Taurean Prince,BKN,25.0,200.66,98.883056,USA,62,12.2,5.9,1.9,0.0,0.0,0.501,2019-20
Terance Mann,LAC,23.0,195.58,97.52228,USA,35,1.6,0.9,1.1,0.0,0.0,0.472,2019-20
Terence Davis,TOR,22.0,193.04,91.171992,USA,62,8.0,3.5,1.7,0.0,0.0,0.605,2019-20
Terrance Ferguson,OKC,21.0,198.12,86.18248,USA,49,4.2,1.4,0.9,0.0,0.0,0.502,2019-20
Terrence Ross,ORL,29.0,198.12,93.439952,USA,61,14.6,3.2,1.2,0.0,0.0,0.545,2019-20
Terry Rozier,CHA,25.0,185.42,86.18248,USA,62,17.6,4.4,4.1,0.0,0.0,0.5479999999999999,2019-20
Thabo Sefolosha,HOU,35.0,198.12,97.52228,Switzerland,40,2.3,2.3,0.6,0.0,0.0,0.4920000000000001,2019-20
Thaddeus Young,CHI,31.0,203.2,106.59412,USA,62,10.2,4.9,1.8,0.0,0.0,0.52,2019-20
Thanasis Antetokounmpo,MIL,27.0,198.12,99.336648,Greece,17,2.1,0.8,0.4,0.0,0.0,0.53,2019-20
Theo Pinson,BKN,24.0,195.58,96.161504,USA,32,3.8,1.7,1.8,0.0,0.0,0.373,2019-20
Thomas Bryant,WAS,22.0,208.28,112.490816,USA,36,12.3,6.9,1.9,0.0,0.0,0.66,2019-20
Thon Maker,DET,23.0,213.36,100.243832,South Sudan,58,4.6,2.8,0.7,2.0,0.0,0.5870000000000001,2019-20
Tim Frazier,DET,29.0,182.88,77.11064,USA,27,3.6,1.2,3.4,0.0,0.0,0.464,2019-20
Tim Hardaway Jr.,DAL,27.0,195.58,92.98636,USA,60,15.6,3.0,2.0,0.0,0.0,0.5820000000000001,2019-20
Timothe Luwawu-Cabarrot,BKN,24.0,200.66,99.79024,France,37,6.3,2.4,0.6,0.0,0.0,0.574,2019-20
Tobias Harris,PHI,27.0,203.2,102.511792,USA,64,19.4,6.8,3.1,0.0,0.0,0.5579999999999999,2019-20
Tomas Satoransky,CHI,28.0,200.66,95.25431999999999,Czech Republic,63,10.1,3.9,5.5,0.0,0.0,0.539,2019-20
Tony Bradley,UTA,22.0,208.28,112.490816,USA,49,4.7,4.3,0.3,0.0,0.0,0.6759999999999999,2019-20
Tony Snell,DET,28.0,198.12,96.615096,USA,57,8.1,1.8,2.1,1.0,0.0,0.606,2019-20
Torrey Craig,DEN,29.0,200.66,100.243832,USA,48,5.1,3.2,0.7,1.0,1.0,0.56,2019-20
Trae Young,ATL,21.0,185.42,81.64656,USA,58,29.4,4.3,9.2,0.0,1.0,0.593,2019-20
Tremont Waters,BOS,22.0,177.8,79.3786,USA,10,3.3,0.9,1.2,0.0,0.0,0.438,2019-20
Treveon Graham,ATL,26.0,195.58,99.336648,USA,53,4.4,2.7,0.8,0.0,0.0,0.449,2019-20
Trevor Ariza,POR,34.0,203.2,97.52228,USA,52,7.7,4.6,1.8,0.0,0.0,0.585,2019-20
Trey Burke,PHI,27.0,182.88,83.91452,USA,25,5.9,1.4,2.1,0.0,0.0,0.545,2019-20
Trey Lyles,SAS,24.0,205.74,106.140528,USA,61,6.2,5.6,1.1,0.0,0.0,0.5529999999999999,2019-20
Tristan Thompson,CLE,28.0,205.74,115.212368,Canada,56,12.2,10.3,2.1,0.0,0.0,0.542,2019-20
Troy Brown Jr.,WAS,20.0,198.12,97.52228,USA,59,9.8,5.3,2.4,0.0,0.0,0.536,2019-20
Omari Spellman,MIN,22.0,203.2,111.13004,USA,49,7.6,4.5,1.0,0.0,0.0,0.551,2019-20
Josh Gray,NOP,26.0,182.88,81.64656,USA,2,1.0,1.0,1.0,0.0,0.0,0.5,2019-20
OG Anunoby,TOR,22.0,200.66,105.233344,United Kingdom,61,10.8,5.5,1.6,0.0,0.0,0.596,2019-20
Norman Powell,TOR,26.0,190.5,97.52228,USA,42,16.4,3.8,1.7,0.0,0.0,0.628,2019-20
Kevin Huerter,ATL,21.0,200.66,86.18248,USA,54,12.3,4.1,3.7,0.0,0.0,0.54,2019-20
Kevin Knox II,NYK,20.0,200.66,97.52228,USA,62,6.5,2.9,1.0,0.0,0.0,0.465,2019-20
Kevin Love,CLE,31.0,203.2,113.851592,USA,54,17.7,9.6,3.1,0.0,0.0,0.605,2019-20
Kevin Porter Jr.,CLE,19.0,193.04,92.079176,USA,50,10.0,3.2,2.2,0.0,0.0,0.535,2019-20
Kevon Looney,GSW,24.0,205.74,100.697424,USA,20,3.4,3.3,1.0,0.0,0.0,0.403,2019-20
Khem Birch,ORL,27.0,205.74,105.68693600000002,Canada,39,3.9,4.6,0.9,0.0,0.0,0.5329999999999999,2019-20
Khris Middleton,MIL,28.0,200.66,100.697424,USA,54,20.7,6.3,4.1,0.0,0.0,0.619,2019-20
Khyri Thomas,DET,23.0,190.5,95.25431999999999,USA,6,1.2,0.0,0.3,0.0,0.0,0.394,2019-20
Kostas Antetokounmpo,LAL,22.0,208.28,90.7184,Greece,3,0.0,0.3,0.3,0.0,0.0,0.0,2019-20
Kris Dunn,CHI,25.0,190.5,92.98636,USA,51,7.3,3.6,3.4,0.0,0.0,0.51,2019-20
Kristaps Porzingis,DAL,24.0,220.98,108.86208,Latvia,49,19.7,9.4,1.7,0.0,0.0,0.551,2019-20
Ky Bowman,GSW,22.0,185.42,84.821704,USA,44,7.4,2.7,3.0,0.0,0.0,0.486,2019-20
Kyle Anderson,MEM,26.0,205.74,104.32616,USA,58,5.7,4.4,2.2,0.0,0.0,0.542,2019-20
Kevin Hervey,OKC,23.0,205.74,104.32616,USA,7,0.3,0.3,0.1,0.0,0.0,0.091,2019-20
Kyle Guy,SAC,22.0,185.42,75.749864,USA,2,1.0,0.0,0.0,0.0,0.0,0.5,2019-20
Kyle Kuzma,LAL,24.0,203.2,100.243832,USA,52,12.5,4.4,1.3,0.0,0.0,0.52,2019-20
Kyle Lowry,TOR,33.0,182.88,88.904032,USA,50,19.5,4.8,7.7,0.0,0.0,0.585,2019-20
Kyle O'Quinn,PHI,29.0,205.74,113.398,USA,25,3.5,3.8,1.4,0.0,0.0,0.541,2019-20
Kyrie Irving,BKN,27.0,187.96,88.45044,Australia,20,27.4,5.2,6.4,0.0,0.0,0.595,2019-20
LaMarcus Aldridge,SAS,34.0,210.82,113.398,USA,52,18.8,7.5,2.4,0.0,0.0,0.573,2019-20
Landry Shamet,LAC,22.0,193.04,86.18248,USA,45,9.9,2.0,1.8,0.0,0.0,0.611,2019-20
Langston Galloway,DET,28.0,185.42,90.7184,USA,64,10.2,2.3,1.5,1.0,1.0,0.586,2019-20
Larry Nance Jr.,CLE,27.0,200.66,111.13004,USA,54,9.8,7.3,2.2,0.0,0.0,0.599,2019-20
Lauri Markkanen,CHI,22.0,213.36,108.86208,Finland,48,14.7,6.4,1.5,0.0,0.0,0.555,2019-20
LeBron James,LAL,35.0,205.74,113.398,USA,58,25.6,7.8,10.7,1.0,1.0,0.581,2019-20
Lonnie Walker IV,SAS,21.0,195.58,92.532768,USA,53,5.6,2.2,0.9,0.0,0.0,0.515,2019-20
Lonzo Ball,NOP,22.0,198.12,86.18248,USA,55,12.3,6.2,7.0,0.0,0.0,0.526,2019-20
Lou Williams,LAC,33.0,185.42,79.3786,USA,59,18.8,3.1,5.8,0.0,1.0,0.5479999999999999,2019-20
Kyle Korver,MIL,38.0,200.66,96.161504,USA,48,6.3,2.0,1.1,0.0,0.0,0.599,2019-20
Louis King,DET,20.0,200.66,92.98636,USA,10,2.0,1.0,0.5,0.0,0.0,0.448,2019-20
Kentavious Caldwell-Pope,LAL,27.0,195.58,92.532768,USA,61,9.6,2.1,1.7,0.0,0.0,0.591,2019-20
Kenrich Williams,NOP,25.0,198.12,95.25431999999999,USA,35,3.8,5.1,1.5,0.0,0.0,0.43,2019-20
Josh Jackson,MEM,23.0,203.2,93.893544,USA,17,10.2,3.4,1.6,0.0,0.0,0.524,2019-20
Josh Okogie,MIN,21.0,193.04,96.615096,Nigeria,60,8.6,4.3,1.5,0.0,0.0,0.5529999999999999,2019-20
Josh Reaves,DAL,22.0,193.04,97.068688,USA,2,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
Josh Richardson,PHI,26.0,195.58,90.7184,USA,47,13.9,3.4,3.1,0.0,0.0,0.526,2019-20
Jrue Holiday,NOP,29.0,190.5,92.98636,USA,54,19.2,4.8,6.9,0.0,0.0,0.529,2019-20
Juan Toscano-Anderson,GSW,26.0,198.12,94.800728,USA,12,5.8,4.3,2.2,0.0,0.0,0.537,2019-20
Juancho Hernangomez,MIN,24.0,205.74,97.068688,Spain,46,5.8,3.9,0.8,0.0,0.0,0.514,2019-20
Julius Randle,NYK,25.0,203.2,113.398,USA,61,19.3,9.7,3.1,0.0,0.0,0.532,2019-20
Justin Anderson,BKN,26.0,195.58,104.779752,USA,3,1.0,0.7,0.0,0.0,0.0,0.218,2019-20
Justin Holiday,IND,30.0,198.12,81.64656,USA,63,8.3,3.2,1.4,0.0,0.0,0.591,2019-20
Justin Jackson,DAL,24.0,200.66,99.79024,USA,55,5.7,2.5,0.7,0.0,0.0,0.496,2019-20
Justin James,SAC,23.0,200.66,86.18248,USA,34,2.5,0.9,0.5,0.0,0.0,0.487,2019-20
Justin Patton,OKC,22.0,210.82,109.31567199999999,USA,5,1.8,1.0,0.4,0.0,0.0,0.45,2019-20
Kent Bazemore,SAC,30.0,193.04,88.45044,USA,63,8.6,4.3,1.3,0.0,5.0,0.4970000000000001,2019-20
Justin Robinson,WAS,22.0,185.42,88.45044,USA,9,1.4,0.6,0.8,0.0,0.0,0.542,2019-20
Justise Winslow,MEM,23.0,198.12,100.697424,USA,11,11.3,6.6,4.0,0.0,0.0,0.44,2019-20
Juwan Morgan,UTA,22.0,200.66,105.233344,USA,16,1.2,1.2,0.1,0.0,0.0,0.5589999999999999,2019-20
KZ Okpala,MIA,20.0,203.2,97.52228,USA,5,1.4,1.0,0.2,0.0,0.0,0.595,2019-20
Kadeem Allen,NYK,27.0,185.42,90.7184,USA,10,5.0,0.9,2.1,0.0,0.0,0.512,2019-20
Karl-Anthony Towns,MIN,24.0,210.82,112.490816,USA,35,26.5,10.8,4.4,0.0,0.0,0.642,2019-20
Kawhi Leonard,LAC,28.0,200.66,102.0582,USA,49,26.9,7.5,5.1,1.0,2.0,0.5820000000000001,2019-20
Keita Bates-Diop,DEN,24.0,203.2,103.872568,USA,39,6.6,2.9,0.8,0.0,0.0,0.541,2019-20
Kelan Martin,MIN,24.0,195.58,104.32616,USA,31,6.4,3.1,0.7,0.0,0.0,0.506,2019-20
Keldon Johnson,SAS,20.0,195.58,99.79024,USA,7,4.7,1.6,0.6,0.0,0.0,0.579,2019-20
Kelly Olynyk,MIA,28.0,210.82,108.86208,Canada,57,7.9,4.5,1.7,0.0,0.0,0.645,2019-20
Kelly Oubre Jr.,PHX,24.0,200.66,92.079176,USA,56,18.7,6.4,1.5,0.0,0.0,0.56,2019-20
Kemba Walker,BOS,29.0,182.88,83.46092800000002,USA,48,21.6,4.1,5.0,0.0,0.0,0.574,2019-20
