nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Emmanuel Mudiay,UTA,24.0,190.5,90.7184,Democratic Republic of the Congo,48,7.3,2.4,2.2,1.0,0.0,0.55,2019-20
Enes Kanter,BOS,27.0,208.28,113.398,Turkey,49,8.4,7.9,0.9,0.0,0.0,0.599,2019-20
Eric Bledsoe,MIL,30.0,185.42,97.068688,USA,55,15.2,4.7,5.4,0.0,0.0,0.5770000000000001,2019-20
Eric Gordon,HOU,31.0,190.5,97.52228,USA,33,14.5,1.9,1.5,0.0,0.0,0.512,2019-20
Eric Mika,SAC,25.0,208.28,105.68693600000002,USA,1,6.0,7.0,0.0,0.0,0.0,0.773,2019-20
Eric Paschall,GSW,23.0,198.12,115.66596,USA,59,14.0,4.6,2.0,0.0,0.0,0.573,2019-20
Ersan Ilyasova,MIL,32.0,205.74,106.59412,Turkey,54,7.0,4.9,0.9,0.0,0.0,0.5920000000000001,2019-20
Isaac Bonga,WAS,20.0,203.2,81.64656,Germany,57,4.6,3.2,1.1,0.0,0.0,0.626,2019-20
Evan Turner,MIN,31.0,198.12,99.79024,USA,19,3.3,2.0,2.0,0.0,1.0,0.424,2019-20
E'Twaun Moore,NOP,31.0,190.5,86.636072,USA,50,8.7,2.4,1.5,0.0,0.0,0.509,2019-20
Isaiah Hartenstein,HOU,21.0,213.36,113.398,Germany,23,4.7,3.9,0.8,0.0,0.0,0.674,2019-20
Ivica Zubac,LAC,22.0,213.36,108.86208,Croatia,62,8.1,7.1,1.1,0.0,0.0,0.645,2019-20
Isaiah Thomas,WAS,31.0,175.26,83.91452,USA,40,12.2,1.7,3.7,0.0,0.0,0.531,2019-20
Jaylen Hoard,POR,20.0,203.2,97.975872,France,13,2.9,2.5,0.3,0.0,0.0,0.504,2019-20
Jaylen Nowell,MIN,20.0,193.04,91.171992,USA,13,4.4,0.8,1.2,0.0,0.0,0.487,2019-20
Jayson Tatum,BOS,22.0,203.2,95.25431999999999,USA,57,23.5,7.1,3.0,0.0,0.0,0.564,2019-20
Jeff Green,HOU,33.0,203.2,106.59412,USA,38,8.3,2.8,0.8,1.0,0.0,0.568,2019-20
Jeff Teague,ATL,31.0,190.5,88.45044,USA,57,10.9,2.4,5.3,0.0,0.0,0.55,2019-20
Jerami Grant,DEN,25.0,203.2,95.25431999999999,USA,62,11.5,3.5,1.2,0.0,0.0,0.581,2019-20
Jeremiah Martin,BKN,23.0,187.96,83.91452,USA,3,0.7,0.7,0.7,0.0,0.0,0.2,2019-20
Jeremy Lamb,IND,27.0,195.58,81.64656,USA,46,12.5,4.3,2.1,0.0,0.0,0.547,2019-20
Jeremy Pargo,GSW,33.0,187.96,99.336648,USA,3,8.3,1.0,2.7,0.0,0.0,0.557,2019-20
Jerome Robinson,WAS,23.0,193.04,86.18248,USA,54,3.7,1.9,1.2,0.0,0.0,0.443,2019-20
Jevon Carter,PHX,24.0,185.42,90.7184,USA,48,4.4,1.8,1.3,0.0,0.0,0.532,2019-20
Jimmy Butler,MIA,30.0,200.66,104.32616,USA,53,20.5,6.8,6.2,0.0,0.0,0.5820000000000001,2019-20
Joe Chealey,CHA,24.0,193.04,86.18248,USA,3,0.7,0.0,0.3,0.0,0.0,0.127,2019-20
Jaylen Brown,BOS,23.0,198.12,101.151016,USA,50,20.4,6.4,2.2,0.0,0.0,0.589,2019-20
Joe Harris,BKN,28.0,198.12,99.79024,USA,61,13.8,4.4,2.1,0.0,0.0,0.586,2019-20
Joel Embiid,PHI,25.0,213.36,127.00576,Cameroon,43,23.3,11.8,3.1,0.0,0.0,0.591,2019-20
John Collins,ATL,22.0,205.74,106.59412,USA,39,21.4,10.0,1.5,1.0,2.0,0.66,2019-20
John Henson,DET,29.0,205.74,99.336648,USA,39,5.6,4.1,1.4,0.0,0.0,0.579,2019-20
John Konchar,MEM,23.0,195.58,95.25431999999999,USA,14,3.5,3.3,1.4,0.0,0.0,0.7020000000000001,2019-20
Johnathan Motley,LAC,24.0,203.2,104.32616,USA,13,2.2,0.8,0.6,0.0,0.0,0.774,2019-20
Johnathan Williams,WAS,24.0,205.74,103.418976,USA,11,3.2,3.9,0.5,0.0,0.0,0.643,2019-20
Jonah Bolden,PHX,24.0,203.2,102.0582,Australia,7,1.4,1.3,0.0,0.0,0.0,0.392,2019-20
Jonas Valanciunas,MEM,27.0,210.82,120.20188,Lithuania,61,14.7,11.1,1.8,0.0,0.0,0.626,2019-20
Jonathan Isaac,ORL,22.0,210.82,104.32616,USA,32,12.0,6.9,1.4,0.0,0.0,0.542,2019-20
Jordan Bell,MEM,25.0,203.2,97.975872,USA,29,3.2,2.8,0.6,0.0,0.0,0.5770000000000001,2019-20
Jordan Bone,DET,22.0,190.5,81.64656,USA,10,1.2,0.4,0.8,0.0,0.0,0.3,2019-20
Jordan Clarkson,UTA,27.0,193.04,87.996848,USA,62,15.2,2.7,2.0,0.0,0.0,0.584,2019-20
Jordan McLaughlin,MIN,23.0,180.34,83.91452,USA,28,7.8,1.7,4.3,0.0,0.0,0.588,2019-20
Joe Ingles,UTA,32.0,200.66,99.79024,Australia,63,9.6,4.0,5.2,0.0,0.0,0.5820000000000001,2019-20
Jaxson Hayes,NOP,19.0,210.82,99.79024,USA,56,7.5,4.0,0.9,0.0,0.0,0.675,2019-20
Javonte Green,BOS,26.0,193.04,92.98636,USA,44,2.9,1.8,0.5,0.0,0.0,0.5579999999999999,2019-20
Jarrod Uthoff,MEM,26.0,205.74,99.79024,USA,4,1.0,0.3,0.0,0.0,0.0,0.254,2019-20
Ish Smith,WAS,31.0,182.88,79.3786,USA,60,10.5,3.2,4.8,0.0,0.0,0.512,2019-20
Domantas Sabonis,IND,23.0,210.82,108.86208,Lithuania,60,18.3,12.4,4.9,0.0,0.0,0.585,2019-20
J.J. Barea,DAL,35.0,177.8,81.64656,Puerto Rico,24,8.0,2.0,3.9,0.0,0.0,0.522,2019-20
J.P. Macura,CLE,24.0,193.04,92.079176,USA,1,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
JJ Redick,NOP,35.0,190.5,90.7184,USA,54,14.9,2.6,2.0,0.0,0.0,0.639,2019-20
Ja Morant,MEM,20.0,190.5,78.92500799999998,USA,58,17.6,3.5,7.0,0.0,0.0,0.569,2019-20
JaKarr Sampson,IND,26.0,200.66,97.068688,USA,24,4.3,2.3,0.3,0.0,0.0,0.62,2019-20
JaMychal Green,LAC,29.0,203.2,102.965384,USA,53,6.4,6.2,0.8,0.0,0.0,0.5529999999999999,2019-20
JaVale McGee,LAL,32.0,213.36,122.46984,USA,59,6.9,5.9,0.6,2.0,0.0,0.659,2019-20
Jabari Parker,SAC,24.0,203.2,111.13004,USA,33,14.7,5.9,1.8,0.0,0.0,0.561,2019-20
Jacob Evans,MIN,22.0,193.04,95.25431999999999,USA,29,4.4,1.4,1.1,0.0,0.0,0.436,2019-20
Jae Crowder,MIA,29.0,198.12,106.59412,USA,57,10.4,6.0,2.6,0.0,0.0,0.532,2019-20
Jahlil Okafor,NOP,24.0,208.28,122.46984,USA,28,7.6,4.3,1.3,0.0,0.0,0.631,2019-20
Jake Layman,MIN,26.0,203.2,94.800728,USA,21,9.0,2.5,0.7,0.0,0.0,0.529,2019-20
Jakob Poeltl,SAS,24.0,215.9,111.13004,Austria,58,5.3,5.3,1.8,0.0,0.0,0.611,2019-20
Jalen Brunson,DAL,23.0,185.42,86.18248,USA,57,8.2,2.4,3.3,0.0,0.0,0.5529999999999999,2019-20
Jalen Lecque,PHX,19.0,193.04,83.91452,USA,4,2.5,0.0,0.5,0.0,0.0,0.46,2019-20
Jalen McDaniels,CHA,22.0,208.28,92.98636,USA,14,5.2,3.9,0.7,0.0,0.0,0.564,2019-20
Jamal Murray,DEN,23.0,193.04,97.52228,Canada,53,18.6,3.9,4.8,0.0,1.0,0.5579999999999999,2019-20
James Ennis III,ORL,29.0,198.12,97.52228,USA,59,6.0,3.3,0.9,0.0,0.0,0.557,2019-20
James Harden,HOU,30.0,195.58,99.79024,USA,59,34.5,6.4,7.4,0.0,0.0,0.616,2019-20
James Johnson,MIN,33.0,200.66,108.86208,USA,30,8.0,3.6,2.2,0.0,0.0,0.568,2019-20
Jared Dudley,LAL,34.0,198.12,107.501304,USA,40,1.5,1.1,0.5,0.0,0.0,0.57,2019-20
Jared Harper,PHX,22.0,177.8,79.3786,USA,3,0.7,0.0,0.0,0.0,0.0,0.25,2019-20
Jaren Jackson Jr.,MEM,20.0,210.82,109.76926399999999,USA,54,16.9,4.7,1.4,0.0,0.0,0.59,2019-20
Jarred Vanderbilt,MIN,20.0,205.74,97.068688,USA,11,1.1,0.8,0.2,0.0,0.0,0.6759999999999999,2019-20
Jarrell Brantley,UTA,23.0,195.58,113.398,USA,5,0.0,1.0,0.2,0.0,0.0,0.0,2019-20
Jarrett Allen,BKN,21.0,210.82,110.222856,USA,62,10.8,9.5,1.4,0.0,0.0,0.6579999999999999,2019-20
Jarrett Culver,MIN,21.0,198.12,88.45044,USA,61,9.1,3.4,1.8,0.0,0.0,0.463,2019-20
Isaiah Roby,OKC,22.0,203.2,104.32616,USA,3,0.0,0.7,0.0,0.0,0.0,0.0,2019-20
Dion Waiters,LAL,28.0,190.5,95.25431999999999,USA,3,9.3,3.7,1.0,0.0,0.0,0.53,2019-20
Dewan Hernandez,TOR,23.0,208.28,106.59412,USA,4,1.0,1.8,0.0,0.0,0.0,0.34,2019-20
Dewayne Dedmon,ATL,30.0,213.36,111.13004,USA,42,5.6,5.4,0.5,0.0,0.0,0.473,2019-20
Bismack Biyombo,CHA,27.0,203.2,115.66596,Democratic Republic of the Congo,51,7.5,5.9,0.9,0.0,0.0,0.5670000000000001,2019-20
Blake Griffin,DET,30.0,205.74,113.398,USA,18,15.5,4.7,3.3,0.0,0.0,0.476,2019-20
Boban Marjanovic,DAL,31.0,223.52,131.54168,Serbia,34,5.7,3.8,0.4,0.0,0.0,0.601,2019-20
Bobby Portis,NYK,25.0,208.28,113.398,USA,63,10.1,5.2,1.4,0.0,0.0,0.531,2019-20
